a0,sig1,b0,sig2,rho,n
-0.021799,0.064754,12.625546,0.633957,-0.372017,143
-0.498495,0.029266,11.514713,0.207208,0.297989,168
1.417017,0.053915,11.188477,0.001543,-0.319357,2
0.564133,0.127223,25.678107,1.581107,-0.153627,18
0.670207,0.005351,12.342303,0.002916,0.466224,2
-0.943326,0.006011,13.142691,0.303956,-0.012865,590
-0.750446,0.022903,13.027468,0.385433,0.422371,456
-0.159712,0.020478,12.63614,0.745044,-0.276381,99
-0.721257,0.029906,11.703744,0.319754,0.370447,217
0.349162,0.082403,13.380739,0.93686,0.075247,20
-0.56257,0.055458,27.226435,0.565678,0.874566,2
1.406062,0.076231,12.498327,0.702555,-0.470125,2
-0.77169,0.005559,11.882018,0.350116,0.087143,637
-0.554011,0.02125,12.171166,0.335653,0.003312,445
-0.593573,0.034212,10.558626,0.256054,0.526146,169
0.001642,0.023828,12.460455,0.60768,-0.091112,102
0.386298,0.348538,13.138342,2.210165,0.193494,33
-0.792211,0.005507,12.290979,0.35332,0.111759,556
-0.633059,0.020275,11.969444,1.084402,0.381852,612
-0.181128,0.104014,12.13688,0.775536,0.347131,214
1.363263,0.057032,15.036338,3.994993,-0.503579,4
-0.815312,0.005162,12.567353,0.381418,0.095727,651
-0.592532,0.022098,12.530021,0.368852,0.268957,469
-0.00483,0.026295,12.451229,0.573738,-0.167014,99
-0.621468,0.031095,10.975521,0.265892,0.627423,146
0.525654,0.134406,13.63208,0.617678,-0.068527,21
-0.83525,0.006231,13.993731,0.238448,-0.025183,600
-0.031653,0.029003,13.131165,0.498758,0.099575,84
-0.656257,0.027286,13.42885,0.786124,0.153804,656
0.550318,0.175246,17.817674,0.018911,-0.746061,6
-0.234153,0.129258,12.165524,0.103736,-0.538817,32
0.524115,0.005702,13.407179,0.363678,0.464038,6
1.375247,0.055442,11.441829,0.000089,-0.458499,2
-0.782163,0.008018,13.330283,0.270585,0.122706,714
-0.583311,0.023949,12.750602,0.823419,0.518018,485
-0.150409,0.104918,12.844453,0.607499,0.254463,183
1.455162,0.051695,12.394247,0.006231,0.534963,2
1.049335,0.008062,29.037602,0.29798,0.585217,1
0.990473,0.022755,24.153365,0.536263,-0.505731,1
-0.773857,0.006525,12.908161,0.435975,0.096666,627
-0.564967,0.023694,12.728193,0.828496,-0.036844,590
0.028601,0.022421,12.76639,0.551438,-0.296244,90
-0.739086,0.003529,10.842751,0.094295,-0.109327,41
0.140508,0.327156,13.107511,1.194514,0.109269,38
-1.031634,0.006883,14.384638,0.267039,0.206891,523
-0.343081,0.074728,13.4251,0.664423,0.106835,156
-0.880404,0.024579,13.728164,0.805584,0.118147,698
0.873513,0.576394,11.785121,0.015891,-0.132263,4
0.590999,0.064298,25.292656,0.683076,-0.431503,5
-0.974024,0.005723,13.647615,0.309774,0.117149,619
-0.78695,0.023122,13.153497,0.859175,0.361655,589
-0.338109,0.083676,13.391038,0.680011,0.194024,168
0.934726,0.073964,13.562621,0.452083,-0.182576,3
0.450742,0.0084,13.978857,1.112575,-0.032824,3
0.600317,0.060625,21.36797,0.475109,-0.666127,4
-0.878528,0.005111,13.912952,0.398322,-0.069812,524
-0.720387,0.020179,13.418441,0.776692,-0.024749,641
