mu1 sig1 mu2 sig2 rho n
4.967466 0.025556 2.627252 0.280364 -0.010362 399
4.884452 0.074979 3.976934 0.189246 -0.440865 113
4.991425 0.015488 6.11802 0.92502 0.1136 13541
4.98167 0.026526 3.035089 0.238798 0.11198 351
4.822165 0.115219 4.41157 1.082129 -0.851898 43
4.975414 0.081271 4.19032 0.860281 0.621075 1
4.972471 0.015398 5.498323 0.93829 0.117367 13459
4.983436 0.024795 2.482104 0.304588 0.151234 403
4.934781 0.068888 4.805435 1.250926 0.329144 52
4.930917 0.095368 5.329036 1.598308 0.692123 4
4.963358 0.148915 4.541048 2.110602 0.661914 3
4.97956 0.103754 4.669535 0.522241 -0.789039 12
4.97302 0.172145 3.534448 1.218804 -0.648757 1
4.912707 0.048464 5.597324 0.648317 -0.715357 2
4.977019 0.021173 1.007848 0.219036 0.207948 317
4.986711 0.015134 4.250643 1.011429 0.107522 13546
4.835474 0.071301 3.403326 0.694185 0.288255 58
4.978283 0.048739 5.496547 0.872402 0.515004 5
4.938631 0.069365 3.743303 1.136886 0.338806 8
4.956035 0.190914 3.082915 0.093488 -0.817282 2
4.978051 0.015288 5.677799 1.009981 0.114672 13566
4.962761 0.027459 2.497506 0.212288 -0.024295 325
4.897793 0.148224 4.067207 0.570334 -0.587893 29
5.02043 0.121168 5.346619 0.581126 0.871446 16
4.969425 0.01549 4.875679 1.018936 0.076116 13531
4.972236 0.025416 1.666549 0.213804 0.133092 326
4.908286 0.092996 3.625104 0.86078 -0.418495 76
4.972513 0.070897 4.561713 1.020728 -0.29392 2
4.972593 0.046199 3.809838 0.540774 -0.102777 1
4.958594 0.015467 5.019956 1.040425 0.091864 13578
4.94672 0.027756 1.871176 0.214259 -0.067986 341
4.88905 0.162553 4.368953 0.846712 0.462349 16
4.967572 0.04095 3.898323 0.56362 0.593238 1
4.9720510000000004 0.026478 2.690595 0.237341 -0.032387 322
4.965034 0.015791 5.879563 1.011716 0.087529 13594
4.906101 0.128976 3.932965 0.780422 -0.743886 20
4.961486 0.014942 6.130427 1.038357 0.10324 13485
4.953225 0.02473 2.883725 0.1995 0.111464 324
4.863703 0.06768 5.164628 0.493867 -0.001233 126
4.954864 0.177213 5.700615 0.164631 0.204233 1
4.947869 0.027842 2.514141 0.235941 0.226072 349
4.953264 0.015771 5.680574 1.011941 0.123122 13582
4.895573 0.201545 4.808458 0.438219 0.688091 5
4.974023 0.015113 5.866108 1.048155 0.096391 13565
4.96723 0.027362 2.638401 0.175968 0.118573 315
4.878738 0.088844 4.427849 0.778818 -0.055828 56
4.984163 0.015398 5.833525 1.011736 0.116172 13534
4.980105 0.0256 2.641825 0.216356 0.08975 331
4.920146 0.079471 4.476566 0.264171 -0.145455 50
4.984362 0.129868 4.968603 1.025236 0.103262 20
4.936451 0.026068 4.503715 0.491163 -0.495641 1
